A	3.75	8.97%	528576200
AA	-1.53	-5.17%	5208239000
AAC	-11.82	-62.01%	57179800
AAN	9.6	42.88%	184809000
AAP	18.61	12.36%	262665300
AAT	4.73	12.33%	49026400
AAV	1.67	32.87%	27358200
AB	-0.4	-1.68%	64736300
ABB	3.34	18.84%	503779400
ABBV	3.38	5.71%	2034231800
ABC	-25.52	-24.61%	647239900
ABEV	0.45	10.09%	4199335100
ABG	-5.74	-8.51%	89828200
ABM	12.37	43.45%	79787400
ABR	0.31	4.34%	27556100
ABR-A	0.57	2.33%	792500
ABR-B	2.02	8.95%	795300
ABR-C	0.18	0.72%	521300
ABRN	0.7	2.85%	1759800
ABT	-6.5	-14.47%	2298099600
ABX	8.6	116.53%	4996990800
AC	2.35	7.70%	6530000
ACC	8.43	20.39%	258457600
ACCO	5.92	83.03%	163653100
ACH	1.97	23.91%	11563400
ACM	6.33	21.08%	296759000
ACN	12.63	12.09%	650155300
ACP	2.08	18.33%	21179200
ACRE	2.29	20.02%	35062000
ACV	0.62	3.41%	12734300
ADC	12.06	35.48%	51966400
ADM	8.97	24.45%	909133500
ADNT	11.6	24.68%	101270800
ADPT	-46.88	-85.99%	181359500
ADS	-48.07	-17.38%	198979100
ADSW	1.72	8.39%	34703200
ADX	-0.12	-0.94%	44199400
AEB	-1.6	-6.63%	5311800
AED	-0.7	-2.71%	5932500
AEE	9.23	21.35%	448588700
AEG	-0.14	-2.47%	492308100
AEH	-0.74	-2.87%	16856300
AEK	-1.49	-5.41%	10721900
AEL	-1.49	-6.20%	200190700
AEM	15.72	59.82%	609302500
AEO	-0.33	-2.13%	1367241800
AEP	4.69	8.05%	705384600
AER	-1.55	-3.59%	605224000
AES	2.05	21.42%	1349417900
AES-C	0.32	0.64%	3618900
AET	15.89	14.70%	688246900
AEUA	7.4	21.80%	9916700
AF	2.8	17.67%	219713200
AF-C	-0.87	-3.35%	3510300
AFA	-0.87	-3.36%	2011200
AFB	-0.59	-4.27%	19766500
AFC	-0.21	-0.83%	3305700
AFG	16.04	22.25%	71519900
AFGE	-1.02	-3.92%	3865100
AFGH	-0.67	-2.61%	8094200
AFI	6.92	53.27%	42652000
AFL	9.7	16.19%	531406600
AFS-A	0.19	0.78%	2631600
AFS-B	-0.28	-1.11%	2020800
AFS-C	-0.4	-1.56%	1950800
AFS-D	-0.19	-0.75%	4561900
AFS-E	0.43	1.71%	7523100
AFS-F	-2.18	-8.63%	9697300
AFSD	-1.64	-6.35%	7978900
AFSS	-0.38	-1.48%	4927800
AFST	-0.12	-0.46%	4815000
AFT	2.25	14.85%	17664700
AFW	-0.94	-3.61%	3067000
AG	4.36	133.33%	1361040000
AGC	0.33	5.95%	33128000
AGCO	12.47	27.47%	244934300
AGD	-0.08	-0.90%	12142900
AGI	3.55	107.90%	549171900
AGM	25.7	81.41%	16777700
AGM-A	-0.43	-1.69%	407800
AGM-B	-0.95	-3.52%	626400
AGM-C	-1.08	-4.13%	469000
AGM.A	34.46	127.44%	320700
AGN	-102.49	-32.80%	1043968900
AGN-A	-266.53	-25.90%	11700800
AGO	11.34	42.91%	242470200
AGO-B	-0.16	-0.62%	1225600
AGO-E	-0.45	-1.77%	2634800
AGO-F	-1.15	-4.62%	1483200
AGR	-0.52	-1.35%	118037500
AGRO	-1.91	-15.54%	121974600
AGU	11.21	12.55%	202177700
AGX	38.15	117.75%	42901400
AHC	1.35	27.00%	9326100
AHH	4.09	39.03%	78082700
AHL	6.7	13.87%	72267000
AHL-A	-0.21	-0.83%	9130000
AHL-B	-0.85	-3.23%	3707300
AHL-C	-0.48	-1.86%	8363400
AHL-D	-3.08	-12.20%	9467200
AHP	-0.85	-5.86%	64367100
AHP-B	-2.46	-10.25%	542700
AHT	1.45	22.98%	171326300
AHT-A	0.13	0.51%	2215700
AHT-D	-0.2	-0.79%	8826600
AHT-F	-1.08	-4.33%	5403200
AHT-G	-1.75	-7.03%	4057400
AI	1.59	12.02%	68958700
AIB	-0.24	-0.94%	3152100
AIC	3.02	15.75%	670900
AIF	1.57	11.30%	16688500
AIG	3.34	5.39%	1809688600
AIG.W	-0.3	-1.26%	39571300
AIN	9.75	26.68%	29209100
AIR	6.76	25.71%	56872900
AIT	18.91	46.70%	50974900
AIV	5.42	13.54%	331974300
AIV-A	0.2	0.78%	1663000
AIW	3.3	16.50%	692300
AIY	0.23	0.92%	2689200
AIZ	12.32	15.30%	139257600
AJG	11.02	26.92%	309346100
AJRD	2.29	14.62%	78934600
AJX	1.15	9.49%	13896800
AKO.A	4.25	26.11%	1612100
AKO.B	5.06	29.06%	6014300
AKP	-0.84	-5.96%	7280400
AKR	-0.47	-1.42%	120623600
AKS	7.97	355.80%	3467881900
AL	0.85	2.54%	269175900
ALB	30.07	53.69%	342585100
ALDW	-13.65	-58.71%	56070200
ALE	13.36	26.28%	64053800
ALEX	9.56	27.07%	45440200
ALG	24	46.07%	15866000
ALJ	-3.46	-23.32%	286329700
ALK	8.22	10.21%	388876500
ALL	12.03	19.38%	553885900
