A	-16.25	-28.41%	572978100
AA	15.48	48.54%	5161412000
AA-B	1.34	2.73%	21618200
AAC	10.92	54.60%	9789700
AAN	1.17	3.98%	237929300
AAP	48.6	43.91%	200376400
AAT	8.38	26.66%	40207800
AAV	0.45	10.37%	86658700
AB	4.49	21.04%	83051600
ABB	-5.41	-20.37%	466820000
ABBV	12.63	23.92%	2303237600
ABC	19.85	28.23%	428969000
ABEV	-1.13	-15.37%	3208014300
ABG	22.18	41.27%	81065600
ABM	0.06	0.21%	52403000
ABR	0.11	1.65%	28348400
ABR-A	0.77	3.18%	1798500
ABR-B	2.09	9.24%	1722000
ABR-C	0.94	3.86%	1758200
ABRN	0.49	2.04%	3451100
ABT	6.69	17.45%	1516024700
ABX	-6.88	-39.02%	3085372400
ACC	9.15	28.41%	180543400
ACCO	2.29	34.08%	223248000
ACH	2.82	32.41%	34117500
ACM	0.94	3.19%	303393900
ACN	7.09	8.62%	705479100
ACP	-2.47	-14.05%	14206700
ACRE	-1.62	-12.37%	44197000
ACW	0.61	16.35%	60360500
ADC	2.07	7.13%	16456400
ADM	8.6	19.82%	899905700
ADPT	12.24	48.65%	19722500
ADS	23.12	8.79%	178760600
ADX	0.61	4.67%	34090400
AEB	3.8	19.31%	7019700
AED	1.82	7.72%	9710300
AEE	9.97	27.57%	412343900
AEG	-1.98	-20.89%	245332800
AEH	2.09	8.93%	17897000
AEK	-0.07	-0.25%	11292400
AEL	2.81	10.65%	136859700
AEM	-1.49	-5.65%	600094300
AEO	-0.52	-3.61%	1376762500
AEP	13.98	29.91%	680782800
AER	0.47	1.23%	286370900
AES	-0.74	-5.10%	1286666200
AES-C	0.71	1.41%	2214100
AET	20.24	29.51%	608235900
AF	-0.47	-3.40%	120157200
AF-C	2.74	12.50%	3220400
AFA	4.21	19.73%	2822800
AFB	1.24	9.90%	17064700
AFC	2.22	9.73%	4275100
AFG	3	5.20%	89640900
AFGE	0.62	2.53%	3240700
AFL	-5.71	-8.55%	503864600
AFS-A	4.65	24.75%	4800400
AFS-B	-0.56	-2.25%	3724300
AFS-C	0.33	1.33%	2044600
AFSD	3.34	15.74%	9732900
AFT	-1.47	-8.12%	14773900
AFW	2.87	12.12%	4680600
AG	-4.78	-48.78%	399526700
AGC	-0.98	-13.46%	29278300
AGCO	-13.99	-23.64%	359103100
AGD	-0.36	-3.53%	12464700
AGI	-5	-41.22%	122361100
AGM	-3.91	-11.42%	8080500
AGM-A	6.18	32.66%	1748900
AGM-B	1.67	6.73%	1700600
AGM-C	0.33	1.32%	1052900
AGM.A	-5.82	-20.39%	59200
AGN	101.51	91.38%	766965600
AGO	2.4	10.17%	520744100
AGO-B	1.99	8.50%	2163200
AGO-E	4.95	24.28%	5098900
AGO-F	4.68	24.32%	3127800
AGRO	-0.08	-0.99%	55112000
AGU	3.24	3.54%	171445000
AGX	6.08	22.06%	27554600
AHC	2.91	38.96%	20727700
AHH	0.21	2.26%	28445000
AHL	2.46	5.95%	129737400
AHL-A	0.87	3.44%	3166800
AHL-B	1.69	6.90%	3652900
AHL-C	2.59	11.42%	4482800
AHP	-1.04	-5.71%	43496500
AHS	4.9	33.33%	73728800
AHT	2.2	26.57%	166398300
AHT-A	0.53	2.10%	1026400
AHT-D	0.31	1.23%	4013000
AI	0.22	0.83%	67250000
AIB	4.57	22.16%	5889800
AIF	-2.04	-11.33%	15800600
AIG	4.96	9.72%	2093309100
AIG.W	4.37	21.58%	25620300
AIN	2.06	5.73%	24246000
AIR	-0.23	-0.82%	71473000
AIT	-3.5	-7.13%	43850100
AIV	11.24	43.38%	311189600
AIV-A	0.82	3.24%	1068900
AIW	2.58	11.93%	710600
AIY	3.88	18.34%	5561800
AIZ	2.06	3.10%	138971200
AJG	0.15	0.32%	210111500
AKO.A	-6.74	-32.03%	1505500
AKO.B	-11.24	-39.80%	10000800
AKP	1.43	11.79%	5812500
AKR	7.2	29.00%	83640700
AKS	-2.26	-27.56%	2271615400
AL	3.23	10.39%	195412900
ALB	-3.26	-5.14%	242807300
ALDW	-3.75	-22.51%	46603800
ALE	5.26	10.55%	55103800
ALEX	-2.47	-5.92%	51302000
ALG	-12.25	-20.18%	10393900
ALJ	-3.87	-23.40%	204685000
ALK	23.08	62.90%	273103000
ALL	15.71	28.80%	608219000
ALL-A	-0.36	-1.35%	58724400
ALL-B	0.03	0.11%	31750100
ALL-C	1.3	5.07%	16537300
ALL-D	1.81	7.24%	4424800
ALL-E	1.43	5.74%	52395500
ALL-F	0.64	2.55%	4329900
ALLE	11.27	25.50%	195013900
ALLY	-0.63	-2.60%	725332100
ALP-O	1.53	6.01%	578200
ALR	1.8	4.97%	164534300
ALR-B	28.7	10.02%	1078200
ALSN	6.29	22.78%	407438500
ALV	14.32	15.60%	140921600
ALX	107.18	32.48%	1390200
AM	-3	-9.84%	47979600
AMBR	-7.28	-41.60%	34806300
AMC	5.63	27.40%	64433700
AME	-0.04	-0.08%	251931400
AMFW	-3.16	-19.63%	17781500
AMG	-4.64	-2.14%	121026000
AMH	0.83	5.12%	308740000
AMH-A	-0.52	-2.07%	4817700
AMH-B	-0.03	-0.12%	4019600
AMH-C	-0.08	-0.32%	6329900
AMID	-7.37	-27.22%	16055200
AMP	17.2	14.95%	250287600
AMRC	-2.66	-27.54%	30341100
AMT	19.03	23.84%	501145000
AMT-A	12.37	12.90%	3741000
AMX	-1.19	-5.09%	1278171800
AN	10.72	21.57%	254145100
ANET	5.51	9.97%	79554300
ANF	-4.27	-12.97%	613269600
ANFI	-1.41	-8.95%	62888300
ANH	1.04	24.70%	309899300
ANH-A	0.69	2.81%	1210700
ANH-B	2.6	12.84%	528900
ANTM	0.42	0.34%	22426300
ANW	2.8	24.96%	49806200
AOD	0.11	1.31%	109577100
AOI	-14.7	-48.20%	72882300
AON	10.94	13.04%	364313500
AOS	1.24	4.58%	151812300
AP	-0.2	-1.03%	7921100
APA	-23.27	-27.08%	864680800
APAM	-14.66	-22.49%	90144600
APB	0.77	7.33%	4629700
APC	3.18	4.01%	1256457200
APD	32.45	29.03%	346016200
APF	-1.71	-10.33%	8895800
APH	9.22	20.68%	187870400
APO	-8.03	-25.40%	317590700
APU	3.35	7.52%	97266400
AR	-22.86	-36.03%	281318200
ARC	2	24.33%	65103500
ARCO	-6.71	-55.36%	204187000
ARCX	-4.84	-22.10%	4648100
ARDC	-2.16	-12.01%	14605600
ARE	25.12	39.48%	104531500
ARE-E	4.7	22.17%	5731000
ARES	-1.01	-5.56%	26530900
ARH-C	4.04	17.62%	8250700
ARI	0.11	0.68%	89322300
ARI-A	1.25	5.02%	2002000
ARL	0.21	4.00%	1648700
ARMK	4.93	18.80%	157557500
ARR	-0.33	-8.23%	925992500
ARR-A	3.26	15.13%	2768600
ARR-B	3.89	19.30%	4385000
ARU	0.65	2.61%	3100100
ARW	3.64	6.71%	142425100
ASA	-2.15	-17.54%	20031000
ASB	0.08	0.43%	2811800
ASC	-3.59	-23.07%	34746700
ASG	-0.46	-8.19%	14183300
ASGN	-1.73	-4.95%	112781500
ASH	22.72	23.41%	199111600
ASPN	-3.02	-27.45%	11027300
ASR	7.21	5.79%	12067700
ASX	1.33	27.71%	189525500
AT	-0.77	-22.13%	337172100
ATEN	-9.39	-68.29%	89025800
ATHM	-0.23	-0.63%	180063500
ATI	-0.86	-2.41%	321834200
ATO	10.32	22.72%	148367100
ATR	-0.97	-1.43%	64876300
ATTO	-3.3	-24.00%	19536100
ATU	-9.4	-25.66%	165567200
ATV	0.13	8.39%	5326300
ATW	-25.02	-46.86%	250026700
AU	-3.02	-25.77%	749398200
AUO	1.97	63.14%	121008400
AUY	-4.6	-53.36%	2296500200
AV	-0.25	-1.65%	46141500
AVA	7.16	25.40%	93778600
AVAL	-3.11	-23.04%	73686100
AVB	45.16	38.20%	210279400
AVD	-12.67	-52.16%	74525900
AVG	2.53	14.70%	114199400
AVH	-3.71	-24.03%	58613100
AVK	-2.18	-11.76%	18229400
AVP	-7.83	-45.47%	1389766000
AVT	-1.09	-2.47%	198998800
AVV	0.47	1.72%	9206600
AVX	0.07	0.50%	48731600
AVY	1.69	3.37%	212605100
AWF	-1.85	-12.96%	67555900
AWH	0.32	0.84%	88077600
AWI	-6.49	-11.27%	235334900
AWK	11.04	26.12%	176424800
AWP	0.02	0.28%	68374800
AWR	8.93	31.08%	39778100
AXE	-1.38	-1.54%	62777700
AXL	2.14	10.46%	327294100
AXP	2.31	2.55%	964761500
AXR	-3.16	-45.14%	3505500
AXS	3.52	7.40%	161747700
AXS-C	3.14	13.32%	6408400
AXS-D	4.69	25.23%	12827700
AXTA	5.4	26.19%	61096700
AYI	30.75	28.13%	105383700
AYR	2.21	11.53%	101008100
AZN	11.01	18.54%	749547400
AZO	141.17	29.54%	65505800
AZZ	-1.94	-3.97%	33587200
B	-1.3	-3.39%	72750000
BA	-6.51	-4.77%	1093868800
BABA	11.24	12.13%	2077863000
BAC	2.32	14.90%	21595474700
BAC-D	1.03	4.28%	10159900
BAC-E	0.33	1.64%	4177400
BAC-I	1.17	4.67%	6642900
BAC-L	103.25	9.73%	1305700
BAC-W	0.72	2.90%	36060500
BAC.A	0.57	8.81%	76274100
BAC.B	-0.06	-7.79%	90186800
BAF	1.47	11.42%	5852400
BAH	7.38	38.54%	181324700
BAK	-4.94	-27.68%	89903400
BAM	7.53	29.10%	152219400
BAN-C	-0.31	-1.16%	460200
BANC	0.67	6.20%	30264300
BAP	27.45	20.68%	78216300
BAS	-8.77	-55.58%	439507900
BAX	3.74	5.38%	708329900
BBD	0.7	6.70%	2234583000
BBDO	-0.93	-7.97%	494900
BBF	1.49	11.94%	4322400
BBG	-15.39	-57.47%	367143300
BBK	2.19	15.97%	6554900
BBL	-19.12	-30.78%	176022200
BBN	3.01	15.72%	53324600
BBT	1.57	4.21%	925187200
BBT-D	3.57	16.62%	15478900
BBT-E	3.84	18.87%	28001200
BBT-F	3.96	21.12%	14958000
BBT-G	4.16	22.13%	14330600
BBVA	-3	-24.21%	400455900
BBW	12.55	166.23%	38012900
BBX	0.85	5.45%	9490200
BBY	-0.9	-2.26%	1697652700
BC	5.2	11.29%	229013300
BCC	7.67	26.02%	94520300
BCE	2.57	5.94%	185963600
BCEI	-19.47	-44.79%	265268100
BCH	-18.86	-21.48%	16943300
BCO	-9.73	-28.50%	110691700
BCR	32.68	24.40%	169296600
BCRH	-0.62	-3.38%	9651000
BCS	-3.12	-17.21%	697873100
BCS-A	0.64	2.54%	17160000
BCS-D	0.71	2.80%	36783600
BCX	-1.88	-16.22%	59679900
BDC	8.36	11.87%	76276400
BDJ	0.18	2.27%	114965400
BDN	1.89	13.41%	380762800
BDN-E	3.35	14.57%	2900600
BDX	28.67	25.95%	250414100
BEL	-0.99	-7.41%	52330000
BEN	-2.36	-4.09%	503347500
BEP	4.77	18.23%	8793100
BERY	7.76	32.62%	241359800
BF.A	7	18.96%	1588500
BF.B	6.14	16.24%	111600700
BFAM	10.27	27.95%	43235200
BFK	1.48	11.65%	21842100
BFO	-0.09	-0.60%	3640200
BFR	6.83	98.13%	74478000
BFS	9.46	19.82%	7719500
BFS-C	4.46	20.06%	3471600
BFZ	1.3	9.50%	14159400
BG	8.8	10.72%	242942300
BGB	-1.32	-7.42%	40251600
BGC	-14.51	-49.34%	218377300
BGCA	1.47	5.68%	2418700
BGE-B	0.79	3.22%	1878500
BGG	-1.34	-6.16%	101891300
BGH	-2.93	-12.67%	22112600
BGR	-4.35	-17.90%	28611600
BGS	-4.01	-11.83%	88599300
BGT	-1.11	-7.95%	18248100
BGX	-2.34	-13.09%	13474300
BGY	-1.39	-17.10%	113247500
BH	-107.13	-21.15%	1972600
BHE	2.36	10.23%	73098000
BHI	0.81	1.47%	1285746200
BHK	0.32	2.48%	20046600
BHL	-0.83	-6.10%	6077900
BHLB	-0.61	-2.24%	22494900
BHP	-20.88	-30.62%	552024600
BID	-10.02	-18.83%	281426300
BIF	1.01	12.56%	10231900
BIG	7.73	23.94%	292803300
BIO	-3.05	-2.47%	23038300
BIO.B	-3.2	-2.59%	55900
BIO.W	0.9	123.29%	1213400
BIOA	0.91	12.17%	14932800
BIP	1.77	6.76%	47812800
BIT	-0.34	-1.99%	34090200
BITA	38.45	120.31%	307182300
BJZ	-0.53	-3.36%	4120700
BK	5.63	16.11%	1351988600
BK-C	2.28	10.99%	15953800
BKD	9.49	34.92%	448412900
BKE	-0.04	-0.08%	72803900
BKH	0.53	1.01%	60428100
BKK	0.63	4.00%	7834300
BKN	2.19	15.38%	10285600
BKS	8.27	55.32%	287698500
BKT	-0.08	-1.23%	35512900
BKU	-3.95	-12.00%	172501000
BLH	-0.25	-1.64%	2836300
BLK	41.09	12.98%	155976800
BLL	16.51	31.96%	245705300
BLOX	-12.81	-38.79%	346644800
BLW	-1.4	-8.18%	32431300
BLX	2.08	7.42%	34665200
BMA	19.46	80.18%	49303900
BME	7.26	20.49%	4816800
BMI	4.85	8.90%	11576800
BML-G	0.89	5.09%	3208400
BML-H	0.72	4.10%	5275000
BML-I	2.04	8.77%	9347100
BML-J	0.94	4.86%	5008200
BML-L	0.59	3.01%	13213400
BMO	4.07	6.11%	107143500
BMS	4.25	10.38%	211726100
BMY	5.88	11.06%	1937670900
BNJ	2.09	15.95%	4744500
BNS	-5.47	-8.75%	117800600
BNY	1.91	15.34%	6424000
BOE	-1.83	-12.23%	57401800
BOH	0.17	0.29%	57690700
BOI	-0.13	-0.78%	23079800
BOOT	-0.8	-4.21%	14656900
BORN	-1.22	-48.80%	46953100
BOXC	-1.9	-7.60%	368400
BP	-10.49	-21.58%	1483475500
BPI	-6.39	-36.08%	54091200
BPK	0.19	1.19%	6638100
BPL	4.65	6.55%	111526100
BPT	-11.99	-15.06%	35752600
BPY	2.93	14.69%	125269800
BQH	1.75	13.97%	2114300
BR	6.66	16.85%	152368300
BRC	-3.59	-11.61%	65356900
BRFS	2.48	11.88%	373636600
BRK.A	48100	27.04%	76100
BRK.B	31.59	26.64%	876894000
BRO	1.52	4.84%	208648500
BRS	-9.27	-12.35%	80228100
BRSS	-3.39	-20.48%	38592900
BRT	-0.09	-1.27%	3471300
BRX	4.51	22.18%	222534300
BSAC	-3.85	-16.33%	107637900
BSBR	-1.08	-17.70%	1756872400
BSD	1.95	16.08%	5080800
BSE	1.19	9.86%	4218000
BSL	-2.11	-11.19%	17170500
BSMX	-3.28	-24.05%	413313400
BST	-2.36	-11.83%	6882300
BSX	1.23	10.23%	3034627300
BT	-0.57	-1.81%	30145800
BTA	1.1	10.78%	10086300
BTE	-22.55	-57.58%	107617500
BTO	0.01	0.04%	14204500
BTT	2.97	17.35%	50410300
BTZ	-0.14	-1.07%	62347200
BUD	5.86	5.50%	318325800
BUI	2.87	16.06%	15533400
BURL	15.26	47.69%	142763300
BVN	-1.66	-14.80%	467712700
BWA	-0.96	-1.72%	385048200
BWG	-0.16	-0.95%	21298400
BWP	-7.75	-30.37%	454084900
BX	2.33	7.40%	1258496400
BXC	-7.9	-40.51%	31778000
BXE	-2.15	-37.13%	33231000
BXMT	2.01	7.41%	113664100
BXMX	-0.37	-2.96%	2114500
BXP	28.32	28.22%	197218000
BXP-B	4.2	22.08%	5805600
BXS	-2.91	-11.45%	156613400
BYD	1.52	13.50%	540579500
BYM	1.7	13.41%	15589500
BZH	-5.06	-20.72%	172564600
C	2	3.84%	5169847200
C-C	3.16	14.88%	22702500
C-J	1.18	4.55%	27584500
C-K	1.24	4.89%	107678000
C-L	1.33	5.34%	43992700
C-N	-0.67	-2.46%	55988900
C-P	-0.47	-1.65%	1648600
C-S	0.21	0.84%	3548900
C.A	0.22	33.85%	91388100
