AMFW	-6.5	-50.23%	57621700
AMG	-52.48	-24.73%	107729400
AMH	-0.37	-2.17%	396924100
AMH-A	1.05	4.26%	2682300
AMH-B	1.45	5.88%	2117100
AMH-C	0.97	3.92%	4739100
AMID	-11.62	-58.95%	46360800
AMP	-25.83	-19.53%	302469100
AMRC	-0.75	-10.71%	15489000
AMT	-1.9	-1.92%	598547800
AMT-A	-9.7	-8.96%	3222900
AMT-B	-0.53	-0.52%	13159700
AMX	-8.12	-36.61%	1018125200
AN	-0.75	-1.24%	211562000
ANET	17.08	28.11%	177504500
ANF	-1.64	-5.73%	734030900
ANFI	-5.24	-36.52%	110448300
ANH	-0.9	-17.14%	194625500
ANH-A	-0.77	-3.05%	841900
ANH-B	0.25	1.09%	305300
ANH-C	-1.18	-4.77%	825900
ANTM	13.77	10.96%	499143200
ANTX	-6.7	-12.70%	36236800
ANW	-5.66	-40.37%	57994000
AOD	-0.81	-9.54%	91324200
AOI	-4.33	-27.41%	86861600
AON	-2.62	-2.76%	307584900
AOS	10.1	35.81%	164787300
AP	-8.99	-46.70%	7771900
APA	-18.2	-29.04%	1126076200
APAM	-14.47	-28.64%	75249300
APB	-1.21	-10.73%	3273000
APC	-33.92	-41.12%	1259422600
APD	-14.12	-9.79%	302801400
APF	-1.02	-6.87%	3197100
APH	-1.58	-2.94%	286787000
APLE	1.97	10.94%	220865000
APO	-8.4	-35.62%	263099300
APTS	2.18	20.00%	18713000
APU	-13.65	-28.48%	60747400
AR	-18.78	-46.28%	571515100
ARC	-5.8	-56.75%	59428100
ARCO	-2.3	-42.51%	140106300
ARCX	-3.79	-22.22%	3041600
ARDC	-2.46	-15.55%	14876600
ARE	1.62	1.83%	99822800
ARE-D	0.59	2.19%	214600
ARE-E	-0.2	-0.77%	4543100
ARES	-4.21	-24.56%	16459900
ARH-C	-0.08	-0.30%	4065300
ARI	0.87	5.32%	122292100
ARI-A	-0.27	-1.03%	1068600
ARL	0.16	2.93%	837400
ARMK	1.1	3.53%	500104400
AROC	-5.7	-43.12%	35288200
ARR	18.08	491.30%	492325000
ARR-A	-1.91	-7.70%	1315600
ARR-B	-3.75	-15.59%	4472200
ARU	-0.25	-0.98%	3638600
ARW	-3.71	-6.41%	149178900
ASA	-2.94	-29.08%	27245500
ASB	0.12	0.64%	221734600
ASB-C	1.3	5.26%	1590700
ASC	0.75	6.27%	54827300
ASG	-0.58	-11.24%	15283600
ASGN	11.76	35.43%	89298200
ASH	-17.06	-14.25%	165634000
ASPN	-1.91	-23.93%	17706300
ASR	8.83	6.70%	14607800
ASX	-0.46	-7.50%	356817600
AT	-0.74	-27.31%	172112900
ATEN	2.2	50.46%	109506100
ATHM	-1.44	-3.96%	242513800
ATI	-23.52	-67.64%	419037800
ATO	7.3	13.10%	144870900
ATR	5.81	8.69%	78970900
ATTO	-0.71	-6.79%	16477700
ATU	-3.28	-12.04%	186748200
ATV	3.76	223.81%	16957000
ATW	-18.14	-63.94%	679998800
AU	-1.6	-18.39%	950836900
AUO	-2.18	-42.83%	471337100
AUY	-2.16	-53.73%	2635975400
AV	0.31	2.08%	68033300
AVA	0.02	0.06%	80887900
AVAL	-3.87	-37.25%	89350800
AVB	20.74	12.69%	191130500
AVD	2.39	20.57%	51553400
AVG	0.31	1.57%	108475300
AVH	-7.46	-63.60%	55818600
AVK	-2.83	-17.31%	27134300
AVP	-5.34	-56.87%	2893798800
AVT	-0.18	-0.42%	225784100
AVV	-1.4	-5.02%	8074000
AVX	-1.86	-13.29%	57011400
AVY	10.78	20.78%	198352700
AWF	-1.65	-13.27%	52737400
